Date,Amount,Merchant,Category
2026-08-01 09:00:00,15.99,Netflix,Subscriptions
2026-08-02 12:30:00,14.50,Sweetgreen,Food & Dining
2026-08-03 08:45:00,11.99,Spotify,Subscriptions
2026-08-05 06:30:00,39.99,Equinox Gym,Fitness
2026-08-08 19:30:00,185.00,The Rooftop Lounge,Nightlife
2026-08-09 13:00:00,140.00,Brunch Club NY,Food & Dining
2026-08-09 23:15:00,210.50,Electric Room Bar,Nightlife
2026-08-10 09:15:00,2.99,Apple iCloud Storage,Subscriptions
2026-08-12 13:10:00,13.25,Chipotle,Food & Dining
2026-08-15 10:00:00,9.99,Duolingo Plus,Education
2026-08-18 12:45:00,16.50,Pret A Manger,Food & Dining
2026-09-01 09:00:00,15.99,Netflix,Subscriptions
2026-09-02 13:15:00,14.00,Joe's Pizza,Food & Dining
2026-09-03 08:45:00,11.99,Spotify,Subscriptions
2026-09-03 23:45:00,38.50,DoorDash - Taco Bell,Food & Dining
2026-09-04 12:30:00,15.00,Cava,Food & Dining
2026-09-05 06:30:00,39.99,Equinox Gym,Fitness
2026-09-05 14:10:00,69.99,Steam - Elden Ring DLC,Entertainment
2026-09-05 14:18:00,69.99,Steam - Elden Ring DLC,Entertainment
2026-09-05 20:30:00,195.00,The Rooftop Lounge,Nightlife
2026-09-06 13:30:00,155.00,Brunch Club NY,Food & Dining
2026-09-06 23:55:00,225.00,Electric Room Bar,Nightlife
2026-09-08 01:20:00,48.20,Uber Eats - McDonald's,Food & Dining
2026-09-10 09:15:00,2.99,Apple iCloud Storage,Subscriptions
2026-09-10 11:05:00,7.50,Blue Bottle Coffee,Coffee & Drinks
2026-09-10 11:12:00,7.50,Blue Bottle Coffee,Coffee & Drinks
2026-09-12 02:15:00,32.90,Gopuff - Late Night Snacks,Food & Dining
2026-09-13 19:45:00,175.00,The Cocktail Emporium,Nightlife
2026-09-14 14:00:00,12.50,Panera Bread,Food & Dining
2026-09-15 10:00:00,9.99,Duolingo Plus,Education
